Type	chromsome	Start	End	q-value	G-score	average amplitude	frequency
Amp	1	7500	167500	0.133141	0.208099	0.413824	0.333333
Amp	1	172500	412500	0	0.126212	0.336228	0.416667
Amp	1	417500	462500	0.111999	0.194606	0.332136	0.416667
Amp	1	467500	467500	0	0.126212	0.33357	0.333333
Amp	1	472500	472500	0.039341	0.161337	0.363884	0.416667
Amp	1	522500	622500	0.154842	0.226438	0.506578	0.416667
Amp	1	627500	702500	0.169382	0.265406	0.491002	0.5
Amp	1	707500	827500	0.328749	0.369368	0.504696	0.583333
Amp	1	832500	2472500	0.471206	0.527714	0.61265	0.583333
Amp	1	2477500	2577500	0.328749	0.369368	0.497899	0.583333
Amp	1	2582500	2612500	0.9149	0.735801	0.737665	0.583333
Amp	1	2617500	2682500	0.769489	0.670701	0.693282	0.583333
Amp	1	2687500	2692500	0.362576	0.377539	0.572261	0.5
Amp	1	2697500	2702500	0	0.116392	0.364549	0.5
Amp	1	2707500	3617500	0.097697	0.18108	0.391369	0.583333
Amp	1	3622500	3742500	0.154842	0.224577	0.421023	0.583333
Amp	1	3747500	8897500	0	0.116392	0.347267	0.583333
Amp	1	8902500	10677500	0.154842	0.215171	0.372094	0.666667
Amp	1	10682500	10752500	0.257794	0.353148	0.457739	0.666667
Amp	1	10757500	16172500	0.154842	0.215171	0.37543	0.666667
Amp	1	16177500	16252500	0	0.116392	0.358754	0.583333
Amp	1	16257500	19422500	0.15657	0.233177	0.389538	0.666667
Amp	1	19427500	19542500	0	0.116392	0.363231	0.583333
Amp	1	19547500	21062500	0.154842	0.21305	0.381449	0.666667
Amp	1	21067500	21537500	0	0.116392	0.363231	0.583333
Amp	1	21542500	21997500	0.15657	0.235921	0.407613	0.666667
Amp	1	22002500	22102500	0	0.116392	0.336309	0.666667
Amp	1	22107500	22377500	0.169382	0.264074	0.424407	0.666667
Amp	1	22382500	22432500	0	0.116392	0.363231	0.583333
Amp	1	22437500	22752500	0.15657	0.246578	0.403284	0.666667
Amp	1	22757500	22837500	0	0.116392	0.363231	0.583333
Amp	1	22842500	23342500	0.169382	0.256932	0.407378	0.666667
Amp	1	23347500	23487500	0	0.116392	0.363231	0.583333
Amp	1	23492500	23597500	0.15657	0.235059	0.388617	0.666667
Amp	1	23602500	23647500	0	0.116392	0.363231	0.583333
Amp	1	23652500	25002500	0.111999	0.198799	0.368934	0.666667
Amp	1	25007500	25077500	0.169382	0.2572	0.403773	0.666667
Amp	1	25082500	25182500	0	0.116392	0.363231	0.583333
Amp	1	25187500	26062500	0.154842	0.227091	0.397795	0.666667
Amp	1	26067500	26142500	0.210438	0.330472	0.447483	0.666667
Amp	1	26147500	28317500	0.154842	0.227091	0.381653	0.666667
Amp	1	28322500	28412500	0	0.116392	0.358478	0.583333
Amp	1	28417500	29242500	0.154842	0.217606	0.374046	0.666667
Amp	1	29247500	29412500	0	0.116392	0.358478	0.583333
Amp	1	29417500	32077500	0.111999	0.194827	0.365329	0.666667
Amp	1	32082500	32262500	0.169382	0.295739	0.425527	0.666667
Amp	1	32267500	35647500	0.111999	0.194827	0.363495	0.666667
Amp	1	35652500	38757500	0.175808	0.324348	0.390496	0.75
Amp	1	38762500	39727500	0.169382	0.291188	0.372913	0.75
Amp	1	39732500	41812500	0.169382	0.267417	0.360308	0.75
Amp	1	41817500	41822500	0.375817	0.403848	0.432652	0.75
Amp	1	41827500	41982500	0.471206	0.547301	0.508719	0.75
Amp	1	41987500	42012500	0.375817	0.403848	0.429707	0.75
Amp	1	42017500	43807500	0.169382	0.267417	0.353032	0.75
Amp	1	43812500	43997500	0.169382	0.294764	0.367534	0.75
Amp	1	44002500	44152500	0.383658	0.412586	0.43001	0.75
Amp	1	44157500	44387500	0.15657	0.237269	0.379177	0.666667
Amp	1	44392500	44502500	0.210438	0.331752	0.43554	0.666667
Amp	1	44507500	46912500	0.154842	0.209921	0.353064	0.666667
Amp	1	46917500	51742500	0	0.0804	0.312554	0.583333
Amp	1	51747500	51807500	0.097697	0.179082	0.414411	0.5
Amp	1	51812500	53507500	0	0.035126	0.359892	0.416667
Amp	1	53512500	53567500	0	0.137884	0.391728	0.5
Amp	1	53572500	53792500	0	0.102758	0.360657	0.5
Amp	1	53797500	109512500	0	0	0.322608	0.416667
Amp	1	109517500	109612500	0	0.059573	0.35313	0.416667
Amp	1	109617500	110237500	0	0.130387	0.357674	0.5
Amp	1	110242500	111192500	0	0.070813	0.389804	0.416667
Amp	1	111197500	112262500	0	0	0.370336	0.333333
Amp	1	112267500	112617500	0	0.093717	0.416842	0.416667
Amp	1	112622500	113207500	0	0	0.327392	0.416667
Amp	1	113212500	113262500	0	0.086507	0.406121	0.416667
Amp	1	113267500	143542500	0	0	0.317442	0.416667
Amp	1	143642500	147942500	0	0.131905	0.32983	0.333333
Amp	1	147947500	147992500	0.15657	0.243058	0.443532	0.5
Amp	1	147997500	149032500	0	0.131905	0.423931	0.416667
Amp	1	149037500	149457500	0.169382	0.282163	0.58161	0.416667
Amp	1	149507500	149747500	0	0	0.39037	0.333333
Amp	1	149752500	149772500	0	0.081236	0.544054	0.583333
Amp	1	149777500	149912500	0.133141	0.200834	0.548777	0.666667
Amp	1	149917500	150162500	0	0.119599	0.500317	0.666667
Amp	1	150167500	151037500	0.169382	0.252925	0.515423	0.75
Amp	1	151042500	151387500	0.400228	0.447575	0.575115	0.833333
Amp	1	151392500	152287500	0.169382	0.314249	0.568319	0.75
Amp	1	152292500	153462500	0.15657	0.250026	0.534264	0.75
Amp	1	153467500	153507500	0.223284	0.344538	0.58438	0.75
Amp	1	153512500	153542500	0.400265	0.471064	0.658059	0.75
Amp	1	153547500	153657500	0.471206	0.598108	0.652882	0.833333
Amp	1	153662500	153777500	0.471206	0.556178	0.632872	0.833333
Amp	1	153782500	153892500	0.451188	0.503596	0.661986	0.75
Amp	1	153897500	153962500	0.598018	0.633428	0.664228	0.833333
Amp	1	153967500	154122500	0.451188	0.503596	0.661986	0.75
Amp	1	154127500	156032500	0.471206	0.583961	0.634141	0.833333
Amp	1	156037500	156917500	0.400265	0.464363	0.639952	0.75
Amp	1	156922500	156932500	0.223284	0.337319	0.644159	0.666667
Amp	1	156937500	157167500	0.154842	0.210792	0.568681	0.666667
Amp	1	157172500	157922500	0	0.130427	0.595131	0.583333
Amp	1	157927500	158152500	0.154842	0.216432	0.572045	0.666667
Amp	1	158157500	159122500	0	0.130427	0.595131	0.583333
Amp	1	159127500	159187500	0.154842	0.220988	0.587003	0.666667
Amp	1	159192500	161402500	0	0.130427	0.595131	0.583333
Amp	1	161407500	161447500	0.451188	0.4937	0.842796	0.583333
Amp	1	161452500	161552500	0	0.130427	0.57017	0.583333
Amp	1	161557500	161622500	0.362576	0.380551	0.740694	0.583333
Amp	1	161627500	178447500	0	0.130427	0.553575	0.583333
Amp	1	178452500	178512500	0.169382	0.265889	0.627871	0.583333
Amp	1	178517500	179707500	0	0.130427	0.535518	0.583333
Amp	1	179712500	179797500	0.169382	0.259795	0.623716	0.583333
Amp	1	179802500	180087500	0	0.130427	0.507607	0.583333
Amp	1	180092500	180117500	0.175808	0.324732	0.641359	0.583333
Amp	1	180122500	180247500	0.400228	0.455155	0.638992	0.666667
Amp	1	180252500	180252500	0.169382	0.26085	0.523082	0.666667
Amp	1	180257500	180857500	0.077169	0.17355	0.471003	0.666667
Amp	1	180862500	180937500	0.375817	0.389778	0.599992	0.666667
Amp	1	180942500	181792500	0.15657	0.235739	0.508102	0.666667
Amp	1	181797500	181857500	0.111999	0.192616	0.551288	0.583333
Amp	1	181862500	184022500	0.154842	0.214306	0.495316	0.666667
Amp	1	184027500	186412500	0	0.102873	0.43208	0.666667
Amp	1	186417500	196772500	0	0.081183	0.474034	0.583333
Amp	1	196777500	196907500	0.133141	0.207993	0.644185	0.5
Amp	1	196912500	197587500	0	0.081183	0.491502	0.583333
Amp	1	197592500	200837500	0.133141	0.202892	0.574479	0.583333
Amp	1	200842500	200852500	0.169382	0.292932	0.564427	0.666667
Amp	1	200857500	203662500	0.257794	0.346061	0.529885	0.75
Amp	1	203667500	204022500	0.169382	0.256021	0.534363	0.666667
Amp	1	204027500	205507500	0.257794	0.352228	0.539539	0.75
